"","V1","V2"
"1","Charade (Main Title)","http://open.spotify.com/track/2rMpAOMp2v6fcZZklQGeRd<br>"
"2","C'est beau la vie","http://open.spotify.com/track/5qlAktQ7eUDu4QnPChf406<br>"
"3","Flamenco Sketches - Studio Sequence 1","http://open.spotify.com/track/745roqGwMrDnjNO1S3Q5ex<br>"
"4","Good Queen Bess - Take 1 [ Remastered]","http://open.spotify.com/track/2nLRHn7ZNJSEKy4Mstaz97<br>"
"5","Through the Long Night","http://open.spotify.com/track/49lW15Ttjngd7uimLKlZee<br>"
"6","Σαράντα παλλικάρια","http://open.spotify.com/track/0yOpj8bcR1Xwi9GwTIX86I<br>"
"7","Sadko: Song of India","http://open.spotify.com/track/1ktOaQeEQRMv9B5XOoa88t<br>"
"8","Concerto for Piano & Orchestra No. 3 in C Minor, Op. 37: II. Largo","http://open.spotify.com/track/0R3ICLYiWyTbdJ7UaA6Iuv<br>"
"9","Palmyre","http://open.spotify.com/track/77roOnL6YzXz0wbd6IwR9B<br>"
"10","Soon","http://open.spotify.com/track/2s209Da32KAhLsYp56nRFZ<br>"
"11","Symphony No. 2 in C minor ""Resurrection"": I. Allegro maestoso","http://open.spotify.com/track/6wyRkMUx1j2pC6Q38FFChb<br>"
"12","I've Found Someone","http://open.spotify.com/track/6uPxO7ejQ19uj5EvshEvE1<br>"
"13","Tzena Tzena Tzena","http://open.spotify.com/track/1JAIPRAF6zOhi7gtXk8KNV<br>"
"14","A Midsummer Night's Dream. Incidental Music, Op. 61: Scherzo - Remastered","http://open.spotify.com/track/2thpB5Uz5y3dvf4RJBRzOZ<br>"
"15","You're Kind","http://open.spotify.com/track/5Kl5ayS12tCTGNNFYj1WMa<br>"
"16","Sonata, Op. 26, No. 2 in F-Sharp Minor: III. Presto","http://open.spotify.com/track/4qfhtt5gIXhW8hKiH379I4<br>"
"17","Trio avec piano No. 5 in C Major, K. 548: III. Allegro","http://open.spotify.com/track/6J5bOKSD4S0lAjEohbcCio<br>"
"18","Quien Dijo Miedo - Remasterizado","http://open.spotify.com/track/2mcCX81VNfuEnJIkg8wq2o<br>"
"19","Non Dimenticar","http://open.spotify.com/track/4d4Z8IilRC921QjOpKaWsw<br>"
"20","All Too Soon","http://open.spotify.com/track/3I5WLtVhzpxJXvkLPUMP8H<br>"
"21","The Rise and Fall of the City of Mahagonny: Denn wie man sich bettet (As You Make Your Bed)","http://open.spotify.com/track/5hWbs8tpYVoB8P1H6ly8xw<br>"
"22","Le tombeau de Couperin, M. 68: IV. Rigaudon","http://open.spotify.com/track/7b8mglGlXGhxdSg7WaxAmN<br>"
"23","Stefani Landler","http://open.spotify.com/track/6DiuWETNPiJUBWGbzm6TFj<br>"
"24","Jago Jago Madhur Prabhat","http://open.spotify.com/track/5J2x7kz4AtCTva5HlWQNrg<br>"
"25","Ballerina - Long Version","http://open.spotify.com/track/0TQBRoaMg2743uCzZNkJKl<br>"
"26","Golfo","http://open.spotify.com/track/2TneKtcD2TRihDYyy3b4RS<br>"
"27","La Tablada - Remasterizado","http://open.spotify.com/track/2vvjEcWBkqoP7tMpA3grWw<br>"
"28","Kane upomoni","http://open.spotify.com/track/0FpjViWdxCahJXdPVkRYeJ<br>"
"29","Chopin: 24 Preludes, Op. 28: No. 13 in F-Sharp Major","http://open.spotify.com/track/2k7RyGPAS2c5wCeLRmpcAY<br>"
"30","Monos","http://open.spotify.com/track/5WH3ebYAtC3iuGLN5vJ443<br>"
"31","Old Grand Dad","http://open.spotify.com/track/575F747gQWkmowDG5QiOLs<br>"
"32","Streichtrio Nr. 3 - III. Allegro (with Lukas David, Subylle Langmaack & Clemens Krieger)","http://open.spotify.com/track/6Yr6BdhAaU4m83gWqFbKyu<br>"
"33","Love Me Somebody - 2017 Remaster","http://open.spotify.com/track/3BQYenArrTGmUck8N7YU6q<br>"
"34","Masters Of War","http://open.spotify.com/track/5Pvaycf1bu6dZfbXW9KPuj<br>"
"35","Vidinha de Roça","http://open.spotify.com/track/5kSBq9kw4wbXktX3oVIjqe<br>"
"36","Honeysuckle Rose","http://open.spotify.com/track/2HGoExXh0hJwwgkl7rlL5T<br>"
"37","Mara Sapanane Pankho Aavi","http://open.spotify.com/track/0JWT8m1ceHxuDhmJoanieN<br>"
"38","Часть 16.5 - Старик и море","http://open.spotify.com/track/2fpQ8Ae5CxRbYPfXza0LHt<br>"
"39","De ""L'Immoraliste"" à ""La porte étroite""","http://open.spotify.com/track/2ZQS5boFcYBj7Yrf8yXaAf<br>"
"40","Kapitel 161 - Die drei Ehen der Grand Sophy","http://open.spotify.com/track/1p55OGD3XqdXkXNzv0oB0B<br>"
"41","Querida","http://open.spotify.com/track/3UHfhZ4MZfwfSJDw9DhspX<br>"
"42","So It Goes...","http://open.spotify.com/track/5PxFv9yJEg9dxvbZggykro<br>"
"43","Atomic","http://open.spotify.com/track/1agoWz2axt0R9alvenDXB0<br>"
"44","Dangerous","http://open.spotify.com/track/7LwsqxyIqOCF9vbdHmdIvT<br>"
"45","Every Heartbeat","http://open.spotify.com/track/55lX3vm1G35mUpawXHK5Te<br>"
"46","Pride And Joy","http://open.spotify.com/track/7yvOPcquZRqoIxk14gkaMk<br>"
"47","Si Se Hubiera Casado Conmigo","http://open.spotify.com/track/1sUgVmN5NlfUTIulYaAW72<br>"
"48","Cutting Ties","http://open.spotify.com/track/6lJ5aSxKHCwNBoWkZT3JeJ<br>"
"49","Night In Tunisia","http://open.spotify.com/track/3oYwESkdHgh1OoC66BawWD<br>"
"50","Enough It Is Done","http://open.spotify.com/track/59443vNOZTD7Y1gfLunqwz<br>"
"51","Long Tall Shorty","http://open.spotify.com/track/3fh4MdwmFtomujBBQpRm2R<br>"
"52","Blue World","http://open.spotify.com/track/0GhAc4Q5FIRaq3qLV0NsWY<br>"
"53","Homemade Love","http://open.spotify.com/track/5AD7oNm0kvWIXxW3vy0z2a<br>"
"54","Comprendes, Mendes?","http://open.spotify.com/track/1yshNtExWJOfvjfvUqGcnu<br>"
"55","Classico","http://open.spotify.com/track/1KRdD8IpxMXGB2883OVP2Q<br>"
"56","Tatuaje en el Alma","http://open.spotify.com/track/2GtVW9cZuHlWRUEqzwoqcx<br>"
"57","I'm A Legend Tonight","http://open.spotify.com/track/6avAyubUI0FM84TWxq3gKi<br>"
"58","Ain't No Woman (Like The One I've Got)","http://open.spotify.com/track/6q8NBpF6twALMb86FBpLgQ<br>"
"59","Up All Night","http://open.spotify.com/track/0sqQ9N6hY0ieocwrgxgJ9F<br>"
"60","One More Rainy Day","http://open.spotify.com/track/6eIvJeu7uw94ZiQ0JPcOAZ<br>"
"61","Source","http://open.spotify.com/track/2t2f8SRVqZ7inLKs3Tvg2p<br>"
"62","Switch 625","http://open.spotify.com/track/1lwW3ovgmnRIfqHnX1ghgU<br>"
"63","Spiders","http://open.spotify.com/track/4vAHXnJ5YWLq5hbIVzZS1h<br>"
"64","Area Codes","http://open.spotify.com/track/3lcC9CnN7Rpo1ugATzmYjY<br>"
"65","You Won't See Me","http://open.spotify.com/track/22QLjELWmorybFaEvm5pX2<br>"
"66","Money Ain't A Thang","http://open.spotify.com/track/3dT126FgdirenOn5aDXHBE<br>"
"67","Finding Out","http://open.spotify.com/track/4BjjeclMoQE7sIumDYRiq0<br>"
"68","Be Kind (with Halsey)","http://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A<br>"
"69","Bicycle Song - 2006 Remaster","http://open.spotify.com/track/02lWbJ8NQ7IZGuNGfG34tE<br>"
"70","Thank You for the Love","http://open.spotify.com/track/3rVULwMnzS4wMOhCdT4fkN<br>"
"71","A Crow Left of the Murder","http://open.spotify.com/track/73LvGnjrXC5QeSR6YEhwXB<br>"
"72","Bad Love","http://open.spotify.com/track/0MSBMSfQzkfG5jq8e4vTE1<br>"
"73","Canadian Goose","http://open.spotify.com/track/1MNdfH2KC5LdEde3JPJ513<br>"
"74","Where The Skies Are Blue","http://open.spotify.com/track/3CuscN8itbT86pQFKQMIk7<br>"
"75","Pretty Fly for a Rabbi (Parody of ""Pretty Fly (For a White Guy)"" by Offspring)","http://open.spotify.com/track/5vLh40xCE0Hl0LJk5Sad1A<br>"
"76","Back On The Map","http://open.spotify.com/track/2RX53kRlq6VqR8ipSuFZ2A<br>"
"77","Can't We Smile?","http://open.spotify.com/track/4ICujrlyR5rxhLGmM7idBb<br>"
"78","Nikita","http://open.spotify.com/track/3G0ENKW9vzV0SuYKaWFflI<br>"
"79","Shake Appeal - Iggy Pop Mix","http://open.spotify.com/track/6Xb1R09eVMeVGvpLZvR6Nh<br>"
"80","My Girl","http://open.spotify.com/track/6E0e72KGbUH0tf0kZcu6St<br>"
"81","Whatever Happened To My Rock 'N' Roll (Punk Song)","http://open.spotify.com/track/4A7KHIDzVdDFd81XPWFiix<br>"
"82","A chi (Hurt) - Remastered","http://open.spotify.com/track/2LYAgzcmX66AgxvF829Lss<br>"
"83","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","http://open.spotify.com/track/3y3brCCecHC3Db18aIOnny<br>"
"84","Down '71 (The Getaway)","http://open.spotify.com/track/65TKeixltrsoak7m6CcYKB<br>"
"85","Swallowed in the Sea","http://open.spotify.com/track/2u2WL5N3KnQnykOZi3fxL6<br>"
"86","Sea Por Diós","http://open.spotify.com/track/5px4Qtoaye683whe57llHP<br>"
"87","Listen Like Thieves","http://open.spotify.com/track/3XclxnExBZAtch4Js5AtYJ<br>"
"88","Oh Daddy - 2004 Remaster","http://open.spotify.com/track/2wmr2A1ixEx9qViaOMkkkW<br>"
"89","Fortune Days","http://open.spotify.com/track/5VWVVSABdgccboSdrKGiZH<br>"
"90","Savage Love (Laxed - Siren Beat)","http://open.spotify.com/track/5T490vvoFNU6psep0NPmxs<br>"
"91","Run","http://open.spotify.com/track/1wvs9V8xEJStRzx78lSNJK<br>"
"92","Not Even the Trees","http://open.spotify.com/track/6LxdD5p7EX9rTPcOqfmFtq<br>"
"93","I Sat By The Ocean","http://open.spotify.com/track/7oXRMDUzBPekkLRTJhSGvC<br>"
"94","Heavenly","http://open.spotify.com/track/2FEtlnZ3qzhqW25Z4MdWsV<br>"
"95","Bubblehouse","http://open.spotify.com/track/2YtX5xh7y5FoQywRmsGCeK<br>"
"96","El Primer Dia Sin Ti","http://open.spotify.com/track/5450H16ce8toZrd933B9in<br>"
"97","Long Way Down","http://open.spotify.com/track/1J307YEKcn9pH7QT5fXTLt<br>"
"98","Go To Her","http://open.spotify.com/track/3tOeWyjnn2iACoR8NQHwmx<br>"
"99","Canal St. (feat. Bones)","http://open.spotify.com/track/0rBMP6VVGRgwnzZCLpijyl<br>"
"100","He'e Roa","http://open.spotify.com/track/5f64N853j2MVLssFVfA8Qo<br>"
